,0
2015-01-01,320336485.0
2015-02-01,307108527.0
2015-03-01,371333237.0
2015-04-01,365871941.0
2015-05-01,361018084.0
2015-06-01,369622990.0
2015-07-01,372888221.0
2015-08-01,331598696.0
2015-09-01,359265739.0
2015-10-01,392284949.0
2015-11-01,353613161.0
2015-12-01,359804445.0
2016-01-01,325404448.0
2016-02-01,336855609.0
2016-03-01,379218984.0
2016-04-01,358174518.0
2016-05-01,379103302.0
2016-06-01,374618834.0
2016-07-01,339113728.0
2016-08-01,357925411.0
2016-09-01,365461979.0
2016-10-01,366441803.0
2016-11-01,356956233.0
2016-12-01,350627508.0
2017-01-01,335255168.0
2017-02-01,320330902.0
2017-03-01,374998053.0
2017-04-01,354967157.0
2017-05-01,380189304.0
2017-06-01,365431907.0
2017-07-01,336016972.0
2017-08-01,345143407.0
2017-09-01,355792798.0
2017-10-01,392026633.0
2017-11-01,355160411.0
2017-12-01,336255354.0
2018-01-01,332071923.0
2018-02-01,321671050.0
2018-03-01,358477452.0
2018-04-01,350125610.0
2018-05-01,371869773.0
2018-06-01,359296918.0
2018-07-01,341633659.0
2018-08-01,344387310.0
2018-09-01,342691252.0
2018-10-01,393073268.0
2018-11-01,347521267.0
2018-12-01,332605946.0
2019-01-01,324801572.0
2019-02-01,308163742.0
2019-03-01,358932605.0
2019-04-01,368374466.0
2019-05-01,377957041.0
2019-06-01,355937330.0
2019-07-01,361403384.0
2019-08-01,360124912.0
2019-09-01,364561346.0
2019-10-01,393997487.0
2019-11-01,361417409.0
2019-12-01,358684934.0
2020-01-01,359821941.0
2020-02-01,347948657.0
2020-03-01,197229374.0
2020-04-01,44859977.0
2020-05-01,59360366.0
2020-06-01,89272178.0
2020-07-01,122598946.0
2020-08-01,132133277.0
2020-09-01,138768888.0
2020-10-01,148381509.0
2020-11-01,128626513.0
2020-12-01,129449046.0
2021-01-01,123738187.0
2021-02-01,113013360.0
2021-03-01,148786492.0
2021-04-01,150213027.0
2021-05-01,166924605.0
2021-06-01,190793640.0
2021-07-01,192283217.0
2021-08-01,186872894.0
2021-09-01,200178308.0
2021-10-01,228172736.0
2021-11-01,213222068.0
2021-12-01,208809807.0
2022-01-01,173908341.0
2022-02-01,195239620.0
2022-03-01,234476899.0
2022-04-01,233537236.0
2022-05-01,239492836.0
2022-06-01,247118922.0
2022-07-01,229051643.0
2022-08-01,238663731.0
2022-09-01,256950259.0
2022-10-01,265592539.0
2022-11-01,258626361.0
2022-12-01,249701789.0
2023-01-01,246325226.0
2023-02-01,238964173.0
2023-03-01,283549969.0
2023-04-01,260264269.0
2023-05-01,295955516.0
2023-06-01,274625867.0
2023-07-01,254373283.0
2023-08-01,273114252.0
2023-09-01,286907684.0
2023-10-01,296063827.0
2023-11-01,283241071.0
2023-12-01,276034333.0
2024-01-01,261530743.0
2024-02-01,258260804.0
2024-03-01,285338509.0
2024-04-01,283799509.0
2024-05-01,302041460.0
2024-06-01,272242399.0
2024-07-01,274043962.0
2024-08-01,272263805.0
2024-09-01,287489632.0
2024-10-01,322370772.0
2024-11-01,290659205.0
2024-12-01,285422006.0
2025-01-01,286553233.0
